page_num	status	char_count	prompt_version	profile	markdown_artifact_uri	error_code
1	done	123	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-001/artifact/001	
2	done	52	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-002/artifact/001	
3	done	902	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-003/artifact/001	
4	done	2082	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-004/artifact/001	
5	done	856	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-005/artifact/001	
6	done	1254	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-006/artifact/001	
7	done	422	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-007/artifact/001	
8	done	3534	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-008/artifact/001	
9	done	1102	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-009/artifact/001	
10	done	1979	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-010/artifact/001	
11	done	2235	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-011/artifact/001	
12	done	1859	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-012/artifact/001	
13	done	275	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-013/artifact/001	
14	done	1810	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-014/artifact/001	
15	done	221	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-015/artifact/001	
16	done	1881	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-016/artifact/001	
17	done	195	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-017/artifact/001	
18	done	1547	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-018/artifact/001	
19	done	1768	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-019/artifact/001	
20	done	1508	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-020/artifact/001	
21	done	354	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-021/artifact/001	
22	done	1913	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-022/artifact/001	
23	done	1937	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-023/artifact/001	
24	done	2205	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-024/artifact/001	
25	done	1771	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-025/artifact/001	
26	done	2422	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-026/artifact/001	
27	done	2418	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-027/artifact/001	
28	done	2378	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-028/artifact/001	
29	done	538	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-029/artifact/001	
30	done	1658	ocr-mvp-universal-v1	gpt-5-nano-low	file:///tmp/book-ocr-hq-001/001-baseline-single-page-clean/artifacts/ocr-page-030/artifact/001	
