started run ocr-mvp-2456c4ae-6728-4511-aecc-3de87eb335e2 in /tmp/book-ocr-full-report794-v5-mini/work
status=running processed=1 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
{"level":"warn","error_code":"ocr_geppetto_failed","retryable":true,"event":"op_failed","workflow_id":"ocr-mvp-2456c4ae-6728-4511-aecc-3de87eb335e2","op_id":"ocr-page-129","site":"ocr-mvp","queue":"ocr","attempt":3,"time":"2026-05-25T00:40:28-04:00","message":"op failed"}
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=running processed=2 succeeded=0 failed=0 retried=0
status=failed processed=2 succeeded=0 failed=0 retried=0
error: workflow finished with status failed
exit status 1
